,source,target
1053,"Bardhere waa magaalo ku taalo koofurta somalia waxayna ka tirsantahay Gobolka Jubada Sare ama loo yaqaan Gedo.
","Bardhere City is an important agricultural city in Bardhere District , Gedo region of Somalia.
"
1054,"Kuliyada Farsamada Baardheere - كلية لعلوم التطبيقية بارطيرآ , waa kulyad farsamo oo ku taal magaalada Baardheere.
","Bardera Polytechnic is a non-profit tertiary polytechnic education centre located in Bardera , Somalia.
"
1055,"Barelang ayaa sidoo kale ka hadlaya jasiiradaha , kuwaas oo dhammaantood maamula qayb ka mid ah degmada Batam.
",""" Barelang "" also refers to the islands themselves , which are all administratively part of the municipality of Batam.
"
1056,"Baargaal waa magaalo ku taala waqooyibari gobolka Bari ee wadanka Soomaaliya.
","Bargal is a town in the northeastern Bari region of Somalia.
"
1057,"Sidoo kale , heedu waxay ka mid tahay dhirta cowka u eeg mida loogu beerashada badan yahay caalamka.
","It was one of the first cultivated grains , particularly in Eurasia as early as 10,000 years ago.
"
1058,"Narso waa nooc ka mid ah durbaanka kaasi oo leh labo dhinac oo laga garaaco.
","Bass drums are percussion instruments and vary in size and are used in several musical genres.
"
1059,"Halka durbaanku inta ugu badan ka leeyahay hal dhinac oo laga garaaco si uu cod u sameeyo , narsadu waxay leedahay labo dhinac oo isku mar la garaaci karo.
","The heads may be made of calf skin or plastic and there is normally a means of adjusting the tension either by threaded taps or by strings.
"
1060,"Basshunter , Jonas Erik Altberg ( Halmstad , 22 diseembar 1984 ) , waa fanaan Iswiidhan ah.
","He began producing music under the stage name "" Basshunter "" in 2001.
"
1061,"Intaa waxa dheer , Tonle Sap waxay qayb ka tahay xuddunta waqooyi-bari ee u dhexeeya Siem Reap iyo Pursat.
","Battambang ( ' lost stick ' ) is a province of Cambodia in the far northwest of the country.
"
1062,"The battle is also referred to as the First Battle of Mogadishu , to distinguish it amongst the nine major Battles of Mogadishu during the decades-long Somali Civil War.
","It was fought on 3-4 October 1993 , in Mogadishu , Somalia , between forces of the United States - supported by UNOSOM II - and Somali militiamen loyal to the warlord Mohamed Farrah Aidid.
"
1063,"Bay waa gobol ka mid ah Gobollada Soomaaliya , wuxuuna ku yaallaa bartamaha koofur-galbeed.
","Bay is an administrative region ( "" gobol "" ) in southern Somalia.
"
1064,"Magaaladani waxay xudun u tahay Degmada Bayla.
","It is the capital of the Bayla District.
"
1065,"Digir Saynis ahaan ka mid ah dhirta lagu magacaabo "" "" Phaseolus vulgaris "" "" waa midho Digirta guud taasi oo leh midab casaan iyo cowlaan isku dhex jira.
","A bean is the seed of one of several genera of the flowering plant family Fabaceae , which are used as vegetables for human or animal food.
"
1066,"Quruxda wuxu horjeeda waxyaabaha foolxun.
","Ugliness is the opposite of beauty.
"
1067,"Shini waa xaywaan yar oo baalaley ah waana xaywaanka soo saara malabka waxow shabahaa xaywaanka loo yaqaan Xuunka iyo Quraanshada , waxaana lagu yaqaanaa wax gurbiska ama isla shaqeenta iyo sameeenta Malabka.
","Bees are flying insects closely related to wasps and ants , known for their role in pollination and , in the case of the best-known bee species , the western honey bee , for producing honey.
"
1068,"Sidoo kale wasladu waa hilibka laga gooyo muruqa xoolaha kaasi oo leh waxyar oo baruur ah , laakiin inta badan jiidh saafi ah.
","A beef steak , often called just steak , is a flat cut of beef with parallel faces , usually cut perpendicular to the muscle fibers.
"
1069,"Waslada waxaa laga diyaariyaa hilibka lo'da , geela , adhiga iyo doofaarka.
","Beef steaks are usually grilled , pan fried , or broiled.
"
1070,"Hilibka kaluunka iyo digaaga iyo shimbiraha laga sameeyn karo waslada.
","Beef steaks are usually grilled , pan fried , or broiled.
"
1071,"Behra waa xayawaan sida Sagaarada oo kale , waxeena ku nool yihiin , dhulka soomaaliya oo dhan , jabuuti iyo somaligalbeed.
","The beira ( "" Dorcatragus megalotis "" ) is a small arid adapted antelope that inhabits arid regions of the Horn of Africa.
"
1072,"Beja waa qowmiyad degta ama nool Waqooyiga Afrika , gaar ahaan koonfurta Masar , Suudaan iyo Eratareya.
","In Eritrea and southeastern Sudan , many members of the Beni Amer grouping speak Tigre.
"
1073,"Afkooda waa qayb ka mid ah laanta Kushiitiga ee afafka Afro-Aasiyatik.
","In recent history , they have lived primarily in the Eastern Desert.
"
1074,"Dadka ku nool dalka 9,498,700 ( 2016 ).
","Over 40 % of its is forested.
"
1075,"Beledweyne waa caasimad ku taala badhtamaha wadanka Soomaaliya.
","Beledweyne is a city in central Somalia.
"
1076,"Magaalada Beledweyne waxay dhacdaa Degmada Beledweyne , waxayna tahay magaalo madaxda Gobolka Hiiraan.
","Located in the Beledweyne District , it is the capital of the Hiiraan province.
"
1077,"Beljim ama Belgium ( Af-Holandees : België ) Somalina waaxa lagu dahaa Biljim.
","Belgium , officially the Kingdom of Belgium , is a country in Western Europe.
"
1078,"biljim waxa ay haysataa 10 gobol ; Biljim waxa ay leedahay wabiyo badan lkn 5 wabi baa u mihiim ah , Biljim malahan madaxwayne waxa ay leedahay ra isul wasaare iyo boqortooyo boqorka magiciisa waxa la dhahaa boqor filip.
","It covers an area of and has a population of more than 11.5 million , making it the 22nd most densely populated country in the world and the 6th most densely populated country in Europe , with a density of.
"
1079,"Belise ( Belize ) wa wadan yar oo ku yaalo Bartamaha Ameerika , dhinaca Badda Karabiya.
","Belize is a Caribbean country located on the northeastern coast of Central America.
"
1080,"Suun waxay noqon kartaa :
","Belt may refer to :
"
1081,"Suun ( dhar ) waa suun balaadhan oo lagu xidho dhexda si loo adkeeyo surwaalka isla markaana u saxo xaragada iyo labiska qofkaasi xidhan suunka.
","Belts are used to secure or hold up clothing , like trousers or other articles of clothing , in a manner similar to suspenders and garters.
"
1082,"Wadankaan waxaa soo gumeestay faransiiska , waxoona xornimada siiyay 1975tii.
","Substantial employment and income arise from subsistence farming.
"
1083,"Magaalada Berbera waxay leedahay dekad ugu wanaagsan qaybta Bada Cas ka hooseysa , waana ilaha dhaqaalaha ee wadanka somaliland
","Berbera is the capital of the Sahil region of Somaliland and is the main sea port of the country.
"
1084,"Berenice Epideires
","B.
"
1085,"Bermuda ingiriisiga ( The Bermuda Islands ) waa jasiirado ku yaalo Badweynta Atlaantik , waxeyna ka tirsanyihiin dalka Ingriiska.
","Bermuda had one of the world's highest GDP per capita for most of the 20th century.
"
1086,"Jasiiradahaan waxey u dhowyihiin wadanka Mareykanka.
","The capital city of Bermuda is Hamilton.
"
1087,"waa dhawr dhasiiradood oo kuyaala badhtamaha bada
","The capital city of Bermuda is Hamilton.
"
1088,"Beyra waa magaalo yar oo ku taala waqooyiga gobolka Mudug ee wadanka Soomaaliya.
","Beyra is a small town in the north-central Mudug region of Somalia.
"
1089,"Butaan ama Boqortooyada Butaan waa wadan Dhul xiran oo ku yaalo koonfurta Aasiya
","Thimphu is its capital and the largest city , while Phuntsholing is its financial center.
"
1090,"Bianca Castanho Pereira ( ku dhalatay Santa Maria , 25 Janaayo 1979 ) , loona yaqaan Bianca Castanho , waa Jilaa barasiiliyan ah.
","Bianca Castanho Pereira ( born January 25 , 1979 in Santa Maria , Rio Grande do Sul ) is a Brazilian actress.
"
1091,"Kitaabka Quduuska ah wuxuu leeyahay laba qaybood oo kala ah : Axdigii Hore iyo Axdiga Cusub.
","These texts include theologically-focused historical accounts , hymns , parables , didactic letters , erotica , sermons , poetry , and prophecies.
"
1092,"Axdigii Hore waxaa la qoray wakhtigii nebi Muuse [ waa 1400 oo sannadood ka hor dhalashaddii Sayid Ciise Masiix ] ilaa iyo nebi Malaakii [ waa 400 oo sannadood ka hor dhalashaddii Sayid Ciise Masiix ].
","The Bible appears in the form of an anthology , a compilation of texts of a variety of forms that are all linked by the belief that they collectively contain the word of God.
"
1093,"Labada qaybood ee Kitaabka lama kala saari karo oo waa sida silsilad isku xidhiidhsan.
","These texts include theologically-focused historical accounts , hymns , parables , didactic letters , erotica , sermons , poetry , and prophecies.
"
1094,"Bilaal ibn Ribaax R.C.
","He was a former slave.
"
1095,"Waa nin ganacsade iyo programmer ah isla markaasna ah samafale.
","He is best known as the co-founder of Microsoft Corporation.
"
1096,"Cilmiga Nooloha , Bayoloji Bayooloji waa eray ka kooban laba eray oo giriig ah oo kalla ah "" Bios "" oo ah nolol iyo "" Logas "" oo ah barashada ama cilmiga.
","Biology recognizes the cell as the basic unit of life , genes as the basic unit of heredity , and evolution as the engine that propels the creation and extinction of species.
"
1097,"Biomolikule waa Molikule oo ka imaaday ama laga sameeyay waxyaabaha nool.
","A more general name for this class of material is biological materials.
"
1098,"Sidoo kale buskudku waa cunto fudud bisil.
","A biscuit is a flour-based baked food product.
"
1099,"Bada Madaw waa bad ku taala koonfur bari qaarada Yurub iyo Aasiyada dhexe waxa ay kula xidhiidhaa bada dhexe ee ee cad.
","The Black Sea is a body of water and marginal sea of the Atlantic Ocean between Eastern Europe , the Caucasus , and Western Asia.
"
1100,"kinaalka loo yaqaanmo bosfoor iyo bada marmarka waxa kale oo ay la xidhiidhaa bada looyaqaanoo asoof waxa ay kala xidhiidhaa kinaalka.
","It is supplied by a number of major rivers , including the Danube , Dnieper , Southern Bug , Dniester , Don , and the Rioni.
"
1101,"masaaxad bada madaw waxa ay kabadantahay 24 kun klm oo isku wareega.dhirerkiida hoostuna waxa uu gaadhaa 2210 mitir.
","The watersheds of many countries drain into the Black Sea beyond the six that immediately border it.
"
1102,"shimbirtaan oo kalarka ku leh xabadka , waxee ku nooshahay , shabellaha dhexe , gaar ahaan gobolka hiiraan.
","The black boubou , Somali boubou , Erlanger's boubou , or coastal boubou ( "" Laniarius nigerrimus "" ) is a medium-size bushshrike.
"
1103,"Tooreey waa Mindi la farsameeyay oo labada gees ka afeesan.
","Modern blades are often made of steel or ceramic.
"
1104,"Buluumington , Bloomington waa magaalo ku taala gobolka Minnesota ee wadanka Maraykanka , taasi oo ka tirsan degamada Hennepin County , Minnesota ee badhtamaha Minnesota.
","It is located in Hennepin County on the north bank of the Minnesota River , above its confluence with the Mississippi River.
"
1105,"Baluug waa Midab ka mid ah Midabada Asaasiga.
","An optical effect called Tyndall scattering explains blue eyes.
"
1106,"Faanka ( ingiriis : boasting ama pride ) waa hadal ama dhaqmin oo is tus iyo bandhig ah.
","Boasting is to speak with excessive pride and self-satisfaction about one's achievements , possessions , or abilities.
"
1107,"Warshadda diyaaradaha Boeing waxee ku taalaa dalka Mareykanka.
","The company also provides leasing and product support services.
"
1108,"Bogota Waa caasimada wadanka Kolombiya waxaa kunool dad gaadhaya 7,8 milyoon oo qof.waa magaalada wadanka uguwayn waana xarun dhaqaale.
","Bogotá is a territorial entity of the first order , with the same administrative status as the departments of Colombia.
"
1109,"Magaaladda ugu weyn iyo xarumaha dhaqaalaha iyo dhaqaalaha waa Santa Cruz de la Sierra , oo ku yaala Llanos Orientales ( Goobaha kulaylaha ee kulaylaha ) badi degaanka bari ee bariga Bolivia.
","The largest city and principal industrial center is Santa Cruz de la Sierra , located on the Llanos Orientales ( tropical lowlands ) , a mostly flat region in the east of the country.
"
1110,"Bollywood waa magaca guud ee loo yaqaano shirkadaha sameeya filimaanta ee dalalka Hindiya , Nepal iyo wadano kale oo qaarada Aasiya ku yaala.
","Hindi cinema , often known as Bollywood and formerly as "" Bombay cinema , "" is the Indian Hindi-language film industry based in Mumbai ( formerly Bombay ).
"
1111,"Waddada Ummada ama sida loo yaqaan "" Wadnaha "" oo marta dhinaca Degmada Yaaqshiid.
","Bondhere District is a district in the southeastern Banaadir region of Somalia.
"
1112,"Boom waa 2003 filim Hindi majaajillo madoow la sii daayay 19-kii Sebtember 2003.
","Boom is a 2003 Indian black comedy thriller film released on 19 September 2003.
"
1113,"Wiil waa labka , marka oo yaryahay.
","A boy is a young male human.
"
1114,"Rajabeeto ( Ingiriis : Bra , Af-carabi مشد صدر ) waa calal suuf ka samaysan oo dumarku ku celiyaan qaybta hore ee xabadka.
","Some women have a medical and surgical need for brassieres , but most women wear them for fashion or cultural reasons.
"
1115,"Waa meesha xukunta dareenka , dhaq dhaqaaqa ama nuux nuuxsiga , jirka oo dhan.
","Each neuron is connected by synapses to several thousand other neurons.
"
1116,"Brasiliya waa magaalo madaxda dowlada federaalka wadanka Barasiil iyo fadhiga dowlada federaalka Degmada Barasiliya.
","Brasília is the federal capital of Brazil and seat of government of the Federal District.
"
1117,"Luqadaan waa lahjo ka mid ah Afka sawaaxiliga.
","Maho ( 2009 ) considers it a distinct dialect.
"
1118,"Buundo ( ingiriis bridge ) wa qaab loo talagaley gudbaanta farqiga , halista ama daloolka waddo ku yaal , sida webi , dooxada iyo jidka.
","It is constructed for the purpose of providing passage over the obstacle , usually something that can be detrimental to cross otherwise.
"
1119,"Waa na mustacmarad hore oo katirsanayd Midowga boqortooyada Britan waxa ay kutaalay Geeska Afrika.
","British Somaliland , officially the British Somaliland Protectorate , was a British protectorate in present-day Somaliland.
"
1120,"Kadib markii ay madax banaanideeda qaadatay waxa ay lamidawday somalilada qaybtii taliyaanigu gumaysan jiray.
","British Somaliland , officially the British Somaliland Protectorate , was a British protectorate in present-day Somaliland.
"
1121,"Cowlaan waa midab madoow khafiif ah oo eg dhirta.
","In painting , brown is generally made by adding black to orange.
"
1122,"Barunay ama Brunei ( Af-Jawi بروني دارالسلام , af malay Negara Brunei Darussalam ) , waa wadan ku yaalo jasiirada Borneo ee dhinaca woqooyi bari ee qaarada Aasiya , waxaa ku wareegan wadamada Sarawaaq iyo Malaysiya.
","Brunei , officially the Nation of Brunei , the Abode of Peace ( , Jawi : ) , is a country located on the north coast of the island of Borneo in Southeast Asia.
"
1123,"Ninka Suldaan ka ah wadanka Brunei waa Xassanal Bolqiya , suldaanka waxoo doortaa wasiir lataliye ah oo ku caawiyo shaqada oo qabanaayo.
","Apart from its coastline with the South China Sea , the country is completely surrounded by the insular Malaysian state of Sarawak.
"
1124,"Bryson Tiller ( dhashay 2 Janaayo 1993 ) , waa fanaan mareykan ah oo qoro heesaha rap'ka ah.
","Bryson Djuan Tiller ( born January 2 , 1993 ) is an American singer , songwriter , and rapper.
"
1125,"Yilmaz horey wuxuu ugu soo dheelay afarta kooxood ee ugu faca iyo magacaweyn ee wadanka Turkiga ; Fenerbahce SK , Beşiktaş JK , Trabzonspor iyo Galatasaray SK.
","Burak Yılmaz ( born 15 July 1985 ) is a Turkish professional footballer who plays as a striker for Lille and the Turkish national team.
"
1126,"Burco ( af Ingriisi : "" Burao "" , af Carabi : برعو ) waa magaalo ku taala gobolka Togdheer ee dalka Somaliland.
","Burao was the site of the unilateral declaration of an independent Somaliland on May 18 , 1991.
"
1127,"Gegada diyaaraha Burco waa gego diyaaradeed ku taala magaalada Burco , maamulka Somaliland.
","As of 2012 , the airport's facilities are undergoing major renovations , supervised by the ICAO.
"
1128,"Burger King waa makhaayad sameysa cunto Ameerikaan taasi oo xarumo badan ku leh meelo badan oo caalamka ah.
","In late-2010 , 3G Capital of Brazil acquired a majority stake in the company , in a deal valued at US $ 3.26 billion.
"
1129,"Shirkadani oo ku caanbaxdey sameynta "" cuntada degdega ah "" ayaa waxaa aasaasay Dan iyo Frank Carney sanadkii 1958 taasi oo laga hirgeliyay wadanka Maraykanka.
","Headquartered in the unincorporated area of Miami-Dade County , Florida , the company was founded in 1953 as Insta-Burger King , a Jacksonville , Florida-based restaurant chain.
"
1130,"Buurhakaba ( Af-maay = Buurhakaby ) waa magaalo ku taalla waqooyi bari ee gobolka Baay , Soomaaliya.
","Burhakaba is a town located in the Bay region in Somalia.
"
1131,"Burjiko waa wax cutada lagu karsado.Burjikada waxee ka midtahay Shay dhaqameedka soomaalida.waxaa lagu sameeyaa magaalada Ceelbuur.
","A Burjiko ( also Burjico , Burjik and Burjic ) is a Somali-style cooker or charcoal burning stove.
"
1132,"Bursa waa magaalo ku taala wuqooyiga wadanka Turkiga waana xarunta isla gobolka Bursa.
","Mount Uludağ , the ancient Mysian Olympus , towers over it , and has a well-known ski resort.
"
1133,"Waa magaalada afraad ee ugu waaweyn magaalooyinka dalkaasi islamarkaana ugu hormarsan haday noqoto dhaqaale , warshaddo , waxbarasho.
","Mount Uludağ , the ancient Mysian Olympus , towers over it , and has a well-known ski resort.
"
1134,"Kooxdani waxaa la aasaasay sanadku markuu ahaa 1963dii , waxayna ka mid tahay kooxaha ugu waawyn uguna taageerayaasha badan guud ahaan dalkaasi.
","Formed in 1963 , the club colours are green and white , with home kits usually featuring both colours in a striped pattern.
"
